 A1,2017,12500,15735,55.4
 A6,2016,16500,36203,64.2
 A1,2016,11000,29946,55.4
 A4,2017,16800,25952,67.3
 A3,2019,17300,1998,49.6
 A1,2016,13900,32260,58.9
 A6,2016,13250,76788,61.4
 A4,2016,11750,75185,70.6
 A3,2015,10200,46112,60.1
 A1,2016,12000,22451,55.4
 A3,2017,16100,28955,58.9
 A6,2016,16500,52198,57.6
 Q3,2016,17000,44915,52.3
 A3,2017,16400,21695,58.9
 A6,2015,15400,47348,61.4
 A3,2017,14500,26156,58.9
 Q3,2016,15700,28396,53.3
 A3,2014,13900,30516,56.5
 Q5,2016,19000,37652,47.1
 Q3,2014,17000,34110,47.9
 A5,2017,17300,37100,67.3
 Q5,2016,20200,23714,47.1
 A5,2017,22500,21649,58.9
 A6,2015,17500,62748,53.3
 Q5,2016,20000,23789,47.1
 A4,2017,18500,17418,62.8
 A5,2017,19500,33300,61.4
 A1,2018,15800,10793,56.5
 A4,2018,17200,25138,70.6
 A6,2015,14000,61176,62.8
 A1,2015,9500,54754,76.3
 Q3,2017,16500,21369,51.4
 Q3,2014,15000,39190,47.9
 Q3,2017,16000,47482,47.9
 Q3,2016,16900,40501,51.4
 Q3,2014,12300,43195,47.9
 A1,2017,10800,31447,67.3
 A6,2016,19400,34030,58.9
 A4,2017,16000,29063,70.6
 A3,2017,17100,29545,65.7
 A3,2015,11300,75619,68.9
 Q3,2016,17200,39603,50.4
 Q3,2017,20300,42908,51.4
 A5,2014,13200,83872,58.9
 Q3,2016,15200,58750,47.9
 A3,2019,15700,2029,49.6
 A6,2018,16600,22958,50.4
 A4,2017,14400,32097,72.4
 A5,2017,20200,13057,53.3
 S4,2017,23700,20278,38.7
 A4,2016,12750,52561,74.3
 A6,2015,13000,31604,67.3
 Q3,2016,15900,32011,49.6
 Q3,2016,15000,39134,60.1
 Q5,2015,14700,89483,47.1
 A3,2015,15000,56291,42.8
 A6,2016,16000,47767,61.4
 A1,2014,11000,34315,53.3
 A3,2016,10200,66369,83.1
 A6,2016,18500,34110,61.4
 A1,2013,7000,76269,74.3
 A3,2016,10600,37840,70.6
 A3,2017,16000,26249,67.3
 Q3,2017,15000,44898,57.7
 Q3,2017,14000,67161,51.4
 A3,2018,18950,17992,54.3
 A4,2016,10200,97440,70.6
 A1,2017,11700,19268,67.3
 A3,2013,11500,51441,50.4
 A1,2016,10800,18181,67.3
 A3,2016,12500,19494,67.3
 A6,2016,16600,32808,61.4
 A3,2017,13100,25965,65.7
 A3,2016,8300,88215,68.9
 A3,2019,16000,5704,49.6
 A4,2017,16900,10959,51.4
 Q5,2016,19600,30201,47.1
 Q3,2017,21800,19319,40.4
 A6,2017,16200,22582,61.4
 A5,2017,18700,20052,49.6
 Q3,2016,16100,16666,60.1
 A3,2016,11300,25626,74.3
 A3,2016,14100,10460,60.1
 A6,2016,16600,43307,57.6
 A1,2017,11300,29327,55.4
 Q3,2017,15600,36714,51.4
 A1,2014,10000,28324,53.3
 A1,2016,14500,12100,56.5
 Q3,2017,16100,18001,62.8
 A1,2016,10600,28760,55.4
 A3,2019,25499,4000,44.1
 Q2,2019,25499,7897,47.9
 A6,2016,15500,24744,56.5
 Q3,2015,16200,30075,51.4
 A1,2017,14000,12577,58.9
